Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C0603",34.930000,-18.050000,-90.000000,top
"C2","22u (Tantalum)","CASE-A_3216",50.600000,-5.800000,0.000000,top
"C3","22u (Tantalum)","CASE-A_3216",50.600000,-17.800000,0.000000,top
"LED1","KT-0603R","LED0603-RD",26.000000,-22.913000,180.000000,top
"LED2","KT-0603R","LED0603-RD",26.000000,-20.600000,180.000000,top
"R1","5k1","R0603",37.126000,-8.150000,0.000000,top
"R2","5k1","R0603",42.730000,-8.150000,180.000000,top
"R3","100","R0603",29.700000,-22.900000,180.000000,top
"R7","100","R0603",29.700000,-20.600000,180.000000,top
"SW1","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",28.000000,-7.500000,0.000000,top
"SW2","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",28.000000,-14.000000,0.000000,top
"U1","CH340C_C7464026","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",40.030000,-14.450000,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",50.600000,-11.822000,90.000000,top
"U3","ESP32-WROOM-32E(8MB)","WIFI-SMD_ESP32-WROOM-32E",10.900000,-14.900000,0.000000,top
"USBC1","TYPE-C-31-M-12","USB-C_SMD-TYPE-C-31-M-12",40.174000,-3.795500,180.000000,top

